"","parentId","stationId","name","Location_Easting","Location_Northing"
"1","490G00013459","490G00013459","Titmuss Avenue",547006,180343
"2","490G00012364","490G00012364","Southwood Road",546733,180250
"3","490G00007923","490G00007923","Hawksmoor School",546635,180477
"4","490G00007092","490G00007092","Gallions Reach Health Centre",546527,180699
"5","490G00013214","490G00013214","Thamesmead Town Centre",546462,180830
"6","490G00009198","490G00009198","Linton Mead Primary School",546722,180842
"7","490G00008405","490G00008405","Hoveton Road",546996,181059
"8","490G00010268","490G00010268","Nickelby Close",547219,181080
"9","490G00006355","490G00006355","Eastgate Close",547645,181041
"10","490G00009206","490G00009206","Lister Walk",547685,180777
"11","490G00011113","490G00011113","Poplar Place",547343,180720
"12","490G00004130","490G00004130","Carlyle Road / Crossway",547181,180440
"13","490G00010190","490G00010190","Newacres Library",547346,179755
"14","490G00013257","490G00013257","Harrow Manorway / Yarnton Way",547347,179498
"15","490G00010675","490G00010675","Overton Road",547351,179304
"16","490G000957","490G000957","Harrow Manorway / Abbey Wood Station",547430,179022
"17","490G00005546","490G00005546","Conference Road",547307,178758
"18","490G00007459","490G00007459","Greening Street",547092,178698
"19","490G00004164","490G00004164","Mcleod Road / Bostall Lane",546808,178620
"20","490G00004162","490G00004162","Bostall Gardens",546620,178569
"21","490G00004835","490G00004835","Cassilda Road",546417,178498
"22","490G00004163","490G00004163","Basildon Road / Bostall Hill",546376,178317
"23","490G00011075","490G00011075","Plumstead Corner / Rockmount Road",545953,178394
"24","490G000293","490G000293","Plumstead High Street / The Plumstead Ce",545627,178490
"25","490G00003584","490G00003584","Bannockburn Road",545417,178553
"26","490G00008908","490G00008908","Lakedale Road",545226,178622
"27","490G000959","490G000959","Plumstead Road / Plumstead Station",544748,178882
"28","490G00014924","490G00014924","Greenwich Community College",544509,178933
"29","490G00009723","490G00009723","Maxey Road",544284,178925
"30","490G00014934","490G00014934","Plumstead Road / Woolwich Public Market",543885,178941
"31","490G000411","490G000411","Beresford Sq / Woolwich Arsenal Stn",543720,178988
"32","490G00014928","490G00014928","Woolwich Ferry",543275,179194
"33","490G00006982","490G00006982","Kingsman Street",542803,179095
"34","490G00011247","490G00011247","Prospect Vale",542518,179026
"35","490G00014247","490G00014247","Warspite Road",542178,179037
"36","490G00020099","490G00020099","Cleveley Close",541880,178919
"37","490G00013207","490G00013207","Greenwich Trust School",541775,178842
"38","490G00010911","490G00010911","Woolwich Road / Charlton Lane",541594,178708
"39","490G00012854","490G00012854","Stone Lake Retail Park",541461,178628
"40","490G000946","490G000946","Charlton Station  / Woolwich Road",541212,178528
"41","490G00007093","490G00007093","Woolwich Road / Gallions Road",540897,178446
"42","490G00011704","490G00011704","Woolwich Road / Victoria Way",540722,178415
"43","490G00011398","490G00011398","Rainton Road",540528,178348
"44","490G00006356","490G00006356","Kemsing Road",540094,178296
"45","490G00009685","490G00009685","Marlton Street",539862,178269
"46","490G00015332","490G00015332","Vanbrugh Hill",539548,178270
"47","490G00004081","490G00004081","Tyler Street",539353,178166
"48","490G000663","490G000663","Trafalgar Road / Maze Hill",538977,177972
"49","490G00013764","490G00013764","Trafalgar Estate",538781,177888
"50","490G000489","490G000489","National Maritime Museum",538503,177728
"51","490G000547","490G000547","Greenwich Church Street",538289,177671
"52","490G00010309","490G00010309","Creek Road / Norman Road",538009,177693
"53","490G00005736","490G00005736","Creekside",537717,177669
"54","490G00011687","490G00011687","Macmillan Students Village",537447,177615
"55","490G00006050","490G00006050","Deptford High Street",537057,177715
"56","490G00007585","490G00007585","Abinger Grove",536777,177914
"57","490G00006049","490G00006049","Deptford Fire Station",536586,178097
"58","490G00006052","490G00006052","Deptford Park School",536322,178401
"59","490G00003944","490G00003944","Bestwood Street",536035,178580
"60","490G00004655","490G00004655","Bush Road",535811,178714
"61","490G00011722","490G00011722","Warndon Street",535541,178716
"62","490G00005603","490G00005603","Corbetts Lane",535197,178650
"63","490G000728","490G000728","Rotherhithe New Rd / Sth Bermondsey Stn",534975,178453
"64","490G00009482","490G00009482","Lynton Road",534800,178590
"65","490G00003311","490G00003311","Anchor Street",534721,178769
"66","490G00012353","490G00012353","Southwark Park Road / St James's Road",534459,178798
"67","490G00011538","490G00011538","Reverdy Road",534116,178849
"68","490G00003275","490G00003275","Alscot Road",533769,178941
"69","490G00012367","490G00012367","Spa Road",533542,179133
"70","490G00007362","490G00007362","Grange Road / Caledonian Market",533220,179239
"71","490G00019012","490G00019012","Bricklayer's Arms / Tower Bridge Road",533107,179097
"72","490G00003658","490G00003658","Bricklayer's Arms / New Kent Road",532725.5,178978
"73","490G00011632","490G00011632","Rodney Place",532373,178971
"74","490G000645","490G000645","Elephant & Castle / New Kent Road",532113.5,179041.5
"75","490G000642","490G000642","Elephant & Castle / London Road",531862.666666667,179204.333333333
"76","490G00012693","490G00012693","St George's Circus",531554.833333333,179523.333333333
"77","490G00013485","490G00013485","The Old Vic",531360.333333333,179738
"78","490G000402","490G000402","Waterloo Station / Tenison Way",531013,180067
"79","490G000819","490G000819","Waterloo Bridge / South Bank",530905,180321
"80","490G00008932","490G00008932","Lancaster Place",530650,180735
"81","490G00003195","490G00003195","Aldwych / Kingsway",530690,181024
"82","490G00112L","490G00112L","Holborn Station",530528,181458
"83","490G00006203","490G00006203","Drury Lane",530259,181386
"84","490G00235Z","490G00235Z","Tottenham Court Road",529969.75,181393.25
"85","490G00000351","490G00000351","Marylebone Station",527688,181917.5
"86","490G000039","490G000039","Old Marylebone Town Hall",527711,181913
"87","490G00009990","490G00009990","Dorset Street",528005,181728
"88","490G00020105","490G00020105","Portman Square",528104.666666667,181399
"89","490G00010622","490G00010622","Orchard Street / Selfridges",528189.666666667,181118.333333333
"90","490G00000399","490G00000399","Marble Arch Station  / Park Lane",527937,180890
"91","490G00006111","490G00006111","Dorchester Hotel",528189,180443.5
"92","490G00009277","490G00009277","London Hilton Hotel",528396.5,180125.5
"93","490G00119F","490G00119F","Hyde Park Corner",528440.666666667,179693.666666667
"94","490G00014728","490G00014728","Wilton Street",528639.666666667,179448.666666667
"95","490G00248G","490G00248G","Victoria Station",528980.5,179106
"96","490G00010164","490G00010164","Neathouse Place",529111,178957.5
"97","490G00011617","490G00011617","Rochester Row",529347.5,178740.5
"98","490G00012542","490G00012542","Stanford Street",529574,178586
"99","490G00180A","490G00180A","Pimlico Station",529734.5,178457
"100","490G00020252","490G00020252","Vauxhall Bus Station",530336.666666667,177957.333333333
"101","490G00014021","490G00014021","Vauxhall Park",530426,177735
"102","490G00014560","490G00014560","Wheatsheaf Lane",530337,177550
"103","490G00013161","490G00013161","Tate Library",530375,177314
"104","490G00013623","490G00013623","Thorne Road",530439,176987
"105","490G000770","490G000770","South Lambeth Road / Stockwell Stn",530500,176662
"106","490G000768","490G000768","Stockwell Gardens",530567,176400
"107","490G00008500","490G00008500","Irving Grove",530687,176195
"108","490G00012833","490G00012833","Stockwell Green",530762,176056
"109","490G00012578","490G00012578","Stansfield Road",530907,175830
"110","490G00007526","490G00007526","Brixton Academy",531021,175709
"111","490G00012808","490G00012808","St Matthew's Church",531031,175105
"112","490G00012810","490G00012810","St Matthews Estate",531063,174942.5
"113","490G00005847","490G00005847","Morval Road",531114,174739.5
"114","490G00015275","490G00015275","Brixton Water Lane",531202,174584.5
"115","490G00004401","490G00004401","Jubilee Primary School",531210,174170
"116","490G00005366","490G00005366","Craignair Road",531219,173822
"117","490G00013950","490G00013950","Upper Tulse Hill",531367,173415
"118","490G00008194","490G00008194","High Trees",531478,173212
"119","490G00013839","490G00013839","Tulse Hill Tavern",531618,173072
"120","490G01298G","490G01298G","Tulse Hill Station",531729,172860
"121","490G00014508","490G00014508","Elmcourt Road",531774,172679
"122","490G00008927","490G00008927","Lancaster Avenue",531879,172454
"123","490G00013670","490G00013670","Norwood Road / Robson Road",531917,172263
"124","490G01331T","490G01331T","West Norwood Station",532000,172004
"125","490G00006625","490G00006625","Ernest Avenue",532065,171849
"126","490G00007193","490G00007193","Gipsy Road",532141,171666
"127","490G00006693","490G00006693","Eylewood Road",532274,171346
"128","490G00010449","490G00010449","Norwood Park",532397,171073
"129","490G00011876","490G00011876","Salter's Hill",532635,171035
"130","490G00015338","490G00015338","Hermitage Road",532825,170908
"131","490G00015346","490G00015346","Rockmount Road",533058,170711
"132","490G00014510","490G00014510","Westow Hill",533596,170717
"133","490G00005869","490G00005869","Crystal Palace Parade",533731,170869.5
"134","490G01036EB","490G01036EB","Bromley North Station",540338,169621
"135","490G00008665","490G00008665","Bromley Civic Centre",540510.5,169270
"136","490G00006507","490G00006507","Bromley High Street / The Mall",540337,168914
"137","490G01037U","490G01037U","Bromley South Station",540391,168783
"138","490G00012775","490G00012775","St Mark's Church",540355,168545
"139","490G00011304","490G00011304","Queen Anne Avenue",540149,168421
"140","490G00004897","490G00004897","Cumberland Road",539822,168181
"141","490G00004376","490G00004376","Broadoaks Way",539554,167953
"142","490G00003644","490G00003644","Barnfield Wood Road",539312,167809
"143","490G00004224","490G00004224","Brabourne Rise",538992,168182
"144","490G00008844","490G00008844","Hayes Lane / Kingswood Road",538918,168321
"145","490G00006029","490G00006029","Den Close",538767,168465
"146","490G00011958","490G00011958","Scotts Lane",538559,168549
"147","490G00008674","490G00008674","Kenwood Drive",538278,168568
"148","490G00013296","490G00013296","The Chinese Garage",537950,168605
"149","490G00010668","490G00010668","Overbury Avenue",537905,168888
"150","490G00004975","490G00004975","Chancery Lane",537825,169268
"151","490G00012691","490G00012691","Bromley Road / St George's Church",537484,169589
"152","490G00009580","490G00009580","Manor Road",537439,169515
"153","490G00003740","490G00003740","Beckenham High Street / Kelsey Square",537249,169367
"154","490G00003744","490G00003744","Beckenham High Street / War Memorial",537025,169361
"155","490G00015349","490G00015349","Hayne Road",536705,169481
"156","490G01071A","490G01071A","Clock House Station",536451,169561
"157","490G02010B","490G02010B","Beckenham Road Tram Stop",536127,169633
"158","490G01163W","490G01163W","Kent House Station",535893,169793
"159","490G00005393","490G00005393","Clevedon Road",535761,169903
"160","490G00010907","490G00010907","Penge / Sainsbury's",535631,170021
"161","490G00015419","490G00015419","Penge / Pawleyne Arms",535543,170055
"162","490G00003494","490G00003494","Avenue Road",535380,169855
"163","490G00003317","490G00003317","Anerley Road / Oak Grove Road",535119,169565
"164","490G00009626","490G00009626","Maple Road",534926,169601
"165","490G00012015","490G00012015","Seymour Villas",534720,169676
"166","490G00018975","490G00018975","Anerley Road / Anerley Station",534540,169869
"167","490G00003319","490G00003319","Anerley Park",534401,170017
"168","490G00013610","490G00013610","Thicket Road",534292,170139
"169","490G01078M","490G01078M","Crystal Palace Station",534049,170457
"170","490G00005870","490G00005870","Anerley Hill / Crystal Palace",533769,170726
"171","490G00005494","490G00005494","Crystal Palace Parade / College Road",533832,171128.5
"172","490G00015289","490G00015289","Dulwich Wood Park / College Road",533655,171435
"173","490G00008839","490G00008839","Dulwich Wood Park / Kingswood Drive",533410,171555
"174","490G00007190","490G00007190","Gipsy Hill",533188,171611
"175","490G00003233","490G00003233","Alleyn Road",532963,171845
"176","490G00005246","490G00005246","Church Approach",532930,171974
"177","490G00012270","490G00012270","South Croxted Road",532868,172266
"178","490G00010774","490G00010774","Park Hall Road",532826,172477
"179","490G00009183","490G00009183","Lings Coppice",532709,172821
"180","490G000799","490G000799","Croxted Road / Thurlow Park Road",532649,173025
"181","490G00011293","490G00011293","Pymers Mead",532516,173329
"182","490G00013847","490G00013847","Turney Road",532377,173717
"183","490G00005850","490G00005850","Croxted Close",532267,173842
"184","490G00010451","490G00010451","Norwood Road",532093,174076
"185","490G000428","490G000428","Brockwell Park",532032.5,174235
"186","490G01149L","490G01149L","Herne Hill Station",531914,174314
"187","490G00004402","490G00004402","Brockwell Lido",531641,174446
"188","490G00005054","490G00005054","Chaucer Road / Effra Parade",531395,174614
"189","490G000627","490G000627","Lambeth Town Hall",530940.5,175132.5
"190","490G00031N","490G00031N","Brixton Station",531022,175358
"191","490G000549","490G000549","Brixton Road / Brixton Police Station",531122,175742
"192","490G00014085","490G00014085","Villa Road",531185.333333333,175967
"193","490G00009373","490G00009373","Loughborough Road",531199,176214.666666667
"194","490G00007587","490G00007587","Groveway",531171.666666667,176604.333333333
"195","490G00008248","490G00008248","Hillyard Street",531166,176772
"196","490G00014013","490G00014013","Vassall Road",531184.333333333,176968.333333333
"197","490G00008642","490G00008642","St Mark's Church",531265.666666667,177416.666666667
"198","490G00015244","490G00015244","Kennington Park",531274,177780
"199","490G00008645","490G00008645","Kennington Park Post Office",531283,177920
"200","490G00014773","490G00014773","Windmill Row",531227.5,178212
"201","490G00008643","490G00008643","Kennington Lane",531232,178453
"202","490G00006864","490G00006864","Fitzalan Street",531237.5,178744
"203","490G000608","490G000608","Kennington Road / Imperial War Museum",531225,179070.5
"204","490G00011169","490G00011169","Pratt Walk",530840,179039
"205","490G00008917","490G00008917","Lambeth Palace",530610,178950
"206","490G00006007","490G00006007","Horseferry Road",530234.5,179074
"207","490G000852","490G000852","Westminster Stn  / Parliament Square",530154.2,179795.2
"208","490G00008376","490G00008376","Horse Guards Parade",530148.125,180029.375
"209","490G000804","490G000804","Trafalgar Square",529979.5625,180414.1875
"210","490G00011516","490G00011516","Regent Street / St James's",529587.6,180521.6
"211","490G00179D","490G00179D","Piccadilly Circus",529380.333333333,180640
"212","490G000041","490G000041","Beak Street / Hamleys Toy Store",529232.333333333,180791.333333333
"213","490G00173RG","490G00173RG","Oxford Circus Station",529041.75,181152
"214","490G000693","490G000693","Margaret Street / Oxford Circus",528976,181362
"215","490G000804","490G000804","Trafalgar Sq / Charing Cross Stn",529979.5625,180414.1875
"216","490G00135B","490G00135B","Leicester Square Station",529972,180756.8
"217","490G00004695","490G00004695","Cambridge Circus",529934.8,180973.2
"218","490G00019157","490G00019157","Denmark Street",529870,181148
"219","490G00235C","490G00235C","Tottenham Court Road Station",529740,181516
"220","490G00089B","490G00089B","Goodge Street Station",529497,181884
"221","490G00252X","490G00252X","Warren Street Station",529298,182221
"222","490G00078P","490G00078P","Euston Square Station",529403.4,182398.8
"223","490G00077G","490G00077G","Euston Station",529642,182620
"224","490G000651","490G000651","Euston Station  / Eversholt Street",529633,182761
"225","490G00003174","490G00003174","Aldenham Street",529419,183061
"226","490G00152G","490G00152G","Mornington Crescent Station",529168.5,183328.333333333
"227","490G000437","490G000437","Camden High Street",529065.8,183586.8
"228","490G00036N","490G00036N","Camden Town Station",528970.125,183819.5
"229","490G00007876","490G00007876","Hartland Road / Camden Market",528603,184226
"230","490G00013538","490G00013538","The Roundhouse",528288,184342
"231","490G00043CD","490G00043CD","Chalk Farm Station",528107.666666667,184415.333333333
"232","490G00012664","490G00012664","Steele's Road / Steele's Village",527838,184676
"233","490G00013939","490G00013939","Upper Park Road",527483,184969
"234","490G00020L","490G00020L","Belsize Park Station",527307,185129
"235","490G00011714","490G00011714","Rosslyn Hill",527078,185355
"236","490G00011000","490G00011000","Pilgrim's Lane",526792,185559
"237","490G00098S","490G00098S","Hampstead Station",526450,185695
"238","490G00008547","490G00008547","Whitestone Pond / Jack Straw's Castle",526322,186200
"239","490G00008490","490G00008490","Inverforth House",526208,186640
"240","490G00020289","490G00020289","North End Road / Golders Hill Park",525983,187020
"241","490G00014346","490G00014346","Wellgarth Road",525692,187259
"242","490G00087GK","490G00087GK","Golders Green Station",525282,187382
"243","490G00006838","490G00006838","Finchley Road",525060.5,187454
"244","490G00015322","490G00015322","Hoop Lane",524794.5,187628
"245","490G00014904","490G00014904","Woodstock Avenue",524551.5,187841
"246","490G00008157","490G00008157","Limes Avenue",524363,188024
"247","490G00007270","490G00007270","Golders Manor Drive",524126,188337
"248","490G00010331","490G00010331","North Circular Road",523913.5,188478
"249","490G00007464","490G00007464","Brent Street / Green Lane",523703.5,188667
"250","490G00004295","490G00004295","Brent Green",523434.5,188766.5
"251","490G00106A","490G00106A","Hendon Central Station",523043.5,188599.5
"252","490G000591","490G000591","Hendon Way",522860.5,188577
"253","490G00003476","490G00003476","Audley Road",522488.5,188524.5
"254","490G01148B","490G01148B","Hendon Station",522154.5,188225
"255","490G00014470","490G00014470","West Hendon Broadway",522021,188062
"256","490G00014561","490G00014561","West Hendon Broadway / Herbert Road",521945.333333333,188172
"257","490G00014471","490G00014471","Hendon Magistrates Court",521694.333333333,188454.333333333
"258","490G00008762","490G00008762","Kingsbury Road",521496,188683
"259","490G00012043","490G00012043","Sheaveshill Avenue",521254,189020
"260","490G00005483","490G00005483","Colindeep Lane",520955,189392
"261","490G00005481","490G00005481","Colindale Avenue",520847,189516
"262","490G00015288","490G00015288","Stonecrop Close",520875,189640
"263","490G00003132","490G00003132","Ajax Avenue",521163,189814
"264","490G00054CB","490G00054CB","Colindale Station",521304,189925
"265","490G00007070","490G00007070","Cherry Close",521610,190307
"266","490G00011298","490G00011298","Quakers Course",521593,190654
"267","490G00010315","490G00010315","North Acre",521280,190586
"268","490G00003331","490G00003331","Angus Gardens",520910,190754
"269","490G00005753","490G00005753","Burnt Oak Leisure Centre",520787,191013
"270","490G00006942","490G00006942","Gunter Grove",520576,190911
"271","490G00034M","490G00034M","Burnt Oak Station",520277,190670
"272","490G000434","490G000434","Burnt Oak Broadway",520034,190577
"273","490G000433","490G000433","North Road",519855,190790
"274","490G00006425","490G00006425","Edgware Community Hospital",519604,191109
"275","490G00006004","490G00006004","Deansbrook Road",519522,191242
"276","490G00012411","490G00012411","Spring Villa Road",519302,191513
"277","490G00070C","490G00070C","Edgware Station",519500,191916
"278","490G000875","490G000875","Oxford Circus Stn  / Harewood Place",528897,181197
