from,to,line,latitude.x,longitude.x,name.x,display_name.x,zone.x,total_lines.x,rail.x,latitude.y,longitude.y,name.y,display_name.y,zone.y,total_lines.y,rail.y,geometry
11,163,1,51.5226,-0.1571,Baker Street,Baker<br />Street,1,5,0,51.5225,-0.1631,Marylebone,NULL,1,1,1,"(-0.157100 51.522600, -0.163100 51.522500)"
11,212,1,51.5226,-0.1571,Baker Street,Baker<br />Street,1,5,0,51.5234,-0.1466,Regent's Park,Regent's<br />Park,1,1,0,"(-0.157100 51.522600, -0.146600 51.523400)"
49,87,1,51.508,-0.1247,Charing Cross,Charing<br />Cross,1,2,1,51.5074,-0.1223,Embankment,NULL,1,4,0,"(-0.124700 51.508000, -0.122300 51.507400)"
49,197,1,51.508,-0.1247,Charing Cross,Charing<br />Cross,1,2,1,51.5098,-0.1342,Piccadilly Circus,Piccadilly<br />Circus,1,2,0,"(-0.124700 51.508000, -0.134200 51.509800)"
82,163,1,51.5199,-0.1679,Edgware Road (B),Edgware<br />Road,1,1,0,51.5225,-0.1631,Marylebone,NULL,1,1,1,"(-0.167900 51.519900, -0.163100 51.522500)"
82,193,1,51.5199,-0.1679,Edgware Road (B),Edgware<br />Road,1,1,0,51.5154,-0.1755,Paddington,NULL,1,4,1,"(-0.167900 51.519900, -0.175500 51.515400)"
84,148,1,51.4943,-0.1001,Elephant & Castle,Elephant &<br />Castle,1.5,2,1,51.4991,-0.1115,Lambeth North,Lambeth<br />North,1,1,0,"(-0.100100 51.494300, -0.111500 51.499100)"
87,279,1,51.5074,-0.1223,Embankment,NULL,1,4,0,51.5036,-0.1143,Waterloo,NULL,1,4,1,"(-0.122300 51.507400, -0.114300 51.503600)"
113,246,1,51.5362,-0.2575,Harlesden,NULL,3,1,0,51.5439,-0.2759,Stonebridge Park,Stonebridge<br />Park,3,1,0,"(-0.257500 51.536200, -0.275900 51.543900)"
113,298,1,51.5362,-0.2575,Harlesden,NULL,3,1,0,51.5326,-0.2478,Willesden Junction,Willesden<br />Junction,2.5,1,1,"(-0.257500 51.536200, -0.247800 51.532600)"
114,140,1,51.5925,-0.3351,Harrow & Wealdstone,Harrow &<br />Wealdstone,5,1,1,51.5816,-0.3162,Kenton,NULL,4,1,0,"(-0.335100 51.592500, -0.316200 51.581600)"
137,206,1,51.5304,-0.225,Kensal Green,Kensal<br />Green,2,1,0,51.5341,-0.2047,Queen's Park,Queens<br />Park,2,1,1,"(-0.225000 51.530400, -0.204700 51.534100)"
137,298,1,51.5304,-0.225,Kensal Green,Kensal<br />Green,2,1,0,51.5326,-0.2478,Willesden Junction,Willesden<br />Junction,2.5,1,1,"(-0.225000 51.530400, -0.247800 51.532600)"
140,237,1,51.5816,-0.3162,Kenton,NULL,4,1,0,51.5701,-0.3081,South Kenton,South<br />Kenton,4,1,0,"(-0.316200 51.581600, -0.308100 51.570100)"
143,159,1,51.5351,-0.1939,Kilburn Park,Kilburn<br />Park,2,1,0,51.53,-0.1854,Maida Vale,Maida<br />Vale,2,1,0,"(-0.193900 51.535100, -0.185400 51.530000)"
143,206,1,51.5351,-0.1939,Kilburn Park,Kilburn<br />Park,2,1,0,51.5341,-0.2047,Queen's Park,Queens<br />Park,2,1,1,"(-0.193900 51.535100, -0.204700 51.534100)"
148,279,1,51.4991,-0.1115,Lambeth North,Lambeth<br />North,1,1,0,51.5036,-0.1143,Waterloo,NULL,1,4,1,"(-0.111500 51.499100, -0.114300 51.503600)"
159,278,1,51.53,-0.1854,Maida Vale,Maida<br />Vale,2,1,0,51.5235,-0.1835,Warwick Avenue,Warwick<br />Avenue,2,1,0,"(-0.185400 51.530000, -0.183500 51.523500)"
185,237,1,51.5621,-0.3034,North Wembley,North<br />Wembley,4,1,0,51.5701,-0.3081,South Kenton,South<br />Kenton,4,1,0,"(-0.303400 51.562100, -0.308100 51.570100)"
185,281,1,51.5621,-0.3034,North Wembley,North<br />Wembley,4,1,0,51.5519,-0.2963,Wembley Central,Wembley<br />Central,4,1,1,"(-0.303400 51.562100, -0.296300 51.551900)"
192,197,1,51.515,-0.1415,Oxford Circus,Oxford<br />Circus,1,3,0,51.5098,-0.1342,Piccadilly Circus,Piccadilly<br />Circus,1,2,0,"(-0.141500 51.515000, -0.134200 51.509800)"
192,212,1,51.515,-0.1415,Oxford Circus,Oxford<br />Circus,1,3,0,51.5234,-0.1466,Regent's Park,Regent's<br />Park,1,1,0,"(-0.141500 51.515000, -0.146600 51.523400)"
193,278,1,51.5154,-0.1755,Paddington,NULL,1,4,1,51.5235,-0.1835,Warwick Avenue,Warwick<br />Avenue,2,1,0,"(-0.175500 51.515400, -0.183500 51.523500)"
246,281,1,51.5439,-0.2759,Stonebridge Park,Stonebridge<br />Park,3,1,0,51.5519,-0.2963,Wembley Central,Wembley<br />Central,4,1,1,"(-0.275900 51.543900, -0.296300 51.551900)"
13,156,2,51.5133,-0.0886,Bank,NULL,1,4,0,51.5178,-0.0823,Liverpool Street,Liverpool<br />Street,1,4,1,"(-0.088600 51.513300, -0.082300 51.517800)"
13,250,2,51.5133,-0.0886,Bank,NULL,1,4,0,51.5146,-0.0973,St. Paul's,St. Paul's,1,1,0,"(-0.088600 51.513300, -0.097300 51.514600)"
16,91,2,51.5856,0.0887,Barkingside,NULL,4,1,0,51.596,0.0912,Fairlop,NULL,4,1,0,"(0.088700 51.585600, 0.091200 51.596000)"
16,173,2,51.5856,0.0887,Barkingside,NULL,4,1,0,51.5756,0.0899,Newbury Park,Newbury<br />Park,4,1,0,"(0.088700 51.585600, 0.089900 51.575600)"
24,156,2,51.527,-0.0549,Bethnal Green,Bethnal<br />Green,2,1,0,51.5178,-0.0823,Liverpool Street,Liverpool<br />Street,1,4,1,"(-0.054900 51.527000, -0.082300 51.517800)"
24,164,2,51.527,-0.0549,Bethnal Green,Bethnal<br />Green,2,1,0,51.5249,-0.0332,Mile End,Mile<br />End,2,3,0,"(-0.054900 51.527000, -0.033200 51.524900)"
28,162,2,51.5142,-0.1494,Bond Street,Bond<br />Street,1,2,0,51.5136,-0.1586,Marble Arch,Marble<br />Arch,1,1,0,"(-0.149400 51.514200, -0.158600 51.513600)"
28,192,2,51.5142,-0.1494,Bond Street,Bond<br />Street,1,2,0,51.515,-0.1415,Oxford Circus,Oxford<br />Circus,1,3,0,"(-0.149400 51.514200, -0.141500 51.515000)"
37,158,2,51.6266,0.0471,Buckhurst Hill,Buckhurst<br />Hill,5,1,0,51.6412,0.0558,Loughton,NULL,6,1,0,"(0.047100 51.626600, 0.055800 51.641200)"
37,301,2,51.6266,0.0471,Buckhurst Hill,Buckhurst<br />Hill,5,1,0,51.607,0.0341,Woodford,NULL,4,1,0,"(0.047100 51.626600, 0.034100 51.607000)"
48,126,2,51.5185,-0.1111,Chancery Lane,Chancery<br />Lane,1,1,0,51.5174,-0.12,Holborn,NULL,1,2,0,"(-0.111100 51.518500, -0.120000 51.517400)"
48,250,2,51.5185,-0.1111,Chancery Lane,Chancery<br />Lane,1,1,0,51.5146,-0.0973,St. Paul's,St. Paul's,1,1,0,"(-0.111100 51.518500, -0.097300 51.514600)"
51,103,2,51.6177,0.0755,Chigwell,NULL,4,1,0,51.6132,0.0923,Grange Hill,Grange<br />Hill,4,1,0,"(0.075500 51.617700, 0.092300 51.613200)"
51,215,2,51.6177,0.0755,Chigwell,NULL,4,1,0,51.6171,0.0439,Roding Valley,Roding<br />Valley,4,1,0,"(0.075500 51.617700, 0.043900 51.617100)"
68,158,2,51.6455,0.0838,Debden,NULL,6,1,0,51.6412,0.0558,Loughton,NULL,6,1,0,"(0.083800 51.645500, 0.055800 51.641200)"
68,256,2,51.6455,0.0838,Debden,NULL,6,1,0,51.6717,0.1033,Theydon Bois,Theydon<br />Bois,6,1,0,"(0.083800 51.645500, 0.103300 51.671700)"
72,286,2,51.5152,-0.3017,Ealing Broadway,Ealing<br />Broadway,3,2,1,51.518,-0.2809,West Acton,West<br />Acton,3,1,0,"(-0.301700 51.515200, -0.280900 51.518000)"
76,181,2,51.5168,-0.2474,East Acton,East<br />Acton,2,1,0,51.5237,-0.2597,North Acton,North<br />Acton,2.5,1,0,"(-0.247400 51.516800, -0.259700 51.523700)"
76,296,2,51.5168,-0.2474,East Acton,East<br />Acton,2,1,0,51.512,-0.2239,White City,White<br />City,2,1,0,"(-0.247400 51.516800, -0.223900 51.512000)"
88,256,2,51.6937,0.1139,Epping,NULL,6,1,0,51.6717,0.1033,Theydon Bois,Theydon<br />Bois,6,1,0,"(0.113900 51.693700, 0.103300 51.671700)"
91,109,2,51.596,0.0912,Fairlop,NULL,4,1,0,51.603,0.0933,Hainault,NULL,4,1,0,"(0.091200 51.596000, 0.093300 51.603000)"
98,173,2,51.5765,0.0663,Gants Hill,Gants<br />Hill,4,1,0,51.5756,0.0899,Newbury Park,Newbury<br />Park,4,1,0,"(0.066300 51.576500, 0.089900 51.575600)"
98,211,2,51.5765,0.0663,Gants Hill,Gants<br />Hill,4,1,0,51.5763,0.0454,Redbridge,NULL,4,1,0,"(0.066300 51.576500, 0.045400 51.576300)"
103,109,2,51.6132,0.0923,Grange Hill,Grange<br />Hill,4,1,0,51.603,0.0933,Hainault,NULL,4,1,0,"(0.092300 51.613200, 0.093300 51.603000)"
105,177,2,51.5423,-0.3456,Greenford,NULL,4,1,1,51.5483,-0.36870000000000003,Northolt,NULL,5,1,0,"(-0.345600 51.542300, -0.368700 51.548300)"
105,196,2,51.5423,-0.3456,Greenford,NULL,4,1,1,51.5366,-0.3232,Perivale,NULL,4,1,0,"(-0.345600 51.542300, -0.323200 51.536600)"
112,181,2,51.5302,-0.2933,Hanger Lane,Hanger<br />Lane,3,1,0,51.5237,-0.2597,North Acton,North<br />Acton,2.5,1,0,"(-0.293300 51.530200, -0.259700 51.523700)"
112,196,2,51.5302,-0.2933,Hanger Lane,Hanger<br />Lane,3,1,0,51.5366,-0.3232,Perivale,NULL,4,1,0,"(-0.293300 51.530200, -0.323200 51.536600)"
126,259,2,51.5174,-0.12,Holborn,NULL,1,2,0,51.5165,-0.131,Tottenham Court Road,Tottenham<br />Court<br />Road,1,2,0,"(-0.120000 51.517400, -0.131000 51.516500)"
127,186,2,51.5075,-0.206,Holland Park,Holland<br />Park,2,1,0,51.5094,-0.1967,Notting Hill Gate,Notting<br />Hill Gate,1.5,3,0,"(-0.206000 51.507500, -0.196700 51.509400)"
127,226,2,51.5075,-0.206,Holland Park,Holland<br />Park,2,1,0,51.5046,-0.2187,Shepherd's Bush (C),Shepherd's<br />Bush,2,1,0,"(-0.206000 51.507500, -0.218700 51.504600)"
149,162,2,51.5119,-0.1756,Lancaster Gate,Lancaster<br />Gate,1,1,0,51.5136,-0.1586,Marble Arch,Marble<br />Arch,1,1,0,"(-0.175600 51.511900, -0.158600 51.513600)"
149,208,2,51.5119,-0.1756,Lancaster Gate,Lancaster<br />Gate,1,1,0,51.5107,-0.1877,Queensway,NULL,1,1,0,"(-0.175600 51.511900, -0.187700 51.510700)"
153,154,2,51.5566,-0.0053,Leyton,NULL,3,1,0,51.5683,0.0083,Leytonstone,NULL,3.5,1,0,"(-0.005300 51.556600, 0.008300 51.568300)"
153,247,2,51.5566,-0.0053,Leyton,NULL,3,1,0,51.5416,-0.0042,Stratford,NULL,2.5,3,1,"(-0.005300 51.556600, -0.004200 51.541600)"
154,230,2,51.5683,0.0083,Leytonstone,NULL,3.5,1,0,51.5808,0.0216,Snaresbrook,NULL,4,1,0,"(0.008300 51.568300, 0.021600 51.580800)"
154,275,2,51.5683,0.0083,Leytonstone,NULL,3.5,1,0,51.5775,0.0288,Wanstead,NULL,4,1,0,"(0.008300 51.568300, 0.028800 51.577500)"
164,247,2,51.5249,-0.0332,Mile End,Mile<br />End,2,3,0,51.5416,-0.0042,Stratford,NULL,2.5,3,1,"(-0.033200 51.524900, -0.004200 51.541600)"
177,239,2,51.5483,-0.36870000000000003,Northolt,NULL,5,1,0,51.5569,-0.3988,South Ruislip,South<br />Ruislip,5,1,1,"(-0.368700 51.548300, -0.398800 51.556900)"
181,286,2,51.5237,-0.2597,North Acton,North<br />Acton,2.5,1,0,51.518,-0.2809,West Acton,West<br />Acton,3,1,0,"(-0.259700 51.523700, -0.280900 51.518000)"
