name	highway	maxheight	@lat	@lon
St. Alban's Place	service	3.2	51.5364063	-0.1042571
Rotherhithe Tunnel	primary	2	51.5057388	-0.0467097
Ravensbourne Park	tertiary	4.5	51.4440194	-0.0259965
Connaught Bridge	primary	"17'0"""	51.5085349	0.0400908
Edgware Road	primary	4.8	51.5614636	-0.2205409
Brent Street	primary	none	51.5860852	-0.2199731
Inner Temple	residential	3.4	51.5125648	-0.1085916
French Ordinary Court	service	"7'9"""	51.5114992	-0.0786246
Fitzroy Square	service	none	51.5229538	-0.1400432
Floral Street	unclassified	default	51.5131559	-0.1230670
Ferndale Road	residential	"13'9"""	51.4638349	-0.1173638
Carter Place	residential	4.7	51.4868642	-0.0959162
Portland Mews	service	3.2	51.5144737	-0.1364243
Blackwall Tunnel	trunk	4.7	51.5048735	-0.0022106
Page Heath Villas	residential	3.8	51.4003824	0.0362771
Queensborough Passage	service	3.1	51.5127356	-0.1849342
Alexandra Avenue	primary	4.5	51.5573758	-0.3623832
Thames Side	service	2.5	51.4134680	-0.3076319
Northolt Road	primary	4.5	51.5567370	-0.3621441
Eastern Avenue	trunk	default	51.5768602	0.0336238
Upper Mulgrave Road	tertiary	4.8	51.3554263	-0.2114235
Blackwall Tunnel	trunk	4	51.5040350	-0.0031243
Lewisham Road	primary	4.9	51.4652620	-0.0111866
	cycleway	4	51.4841981	0.1720201
Eversley Cross	unclassified	3.9	51.4643240	0.1773914
Back Church Lane	unclassified	5	51.5111171	-0.0668699
Church Road	service	"13'9"""	51.6021536	-0.0705725
Garnet Street	tertiary	4.8	51.5080729	-0.0550569
West Street	unclassified	"16'0"""	51.5312041	-0.0569278
	service	"12'0"""	51.5136688	-0.0378711
Ponsford Street	tertiary	4.9	51.5476740	-0.0476030
Ponsford Street	tertiary	4.7	51.5469901	-0.0478354
Middleton Road	residential	4	51.5407101	-0.0754105
	service	2.13	51.6082481	-0.3746360
Rotherhithe New Road	primary	4.7	51.4885906	-0.0577148
Trundley's Road	secondary	"7'9"""	51.4846738	-0.0421442
	service	2.04	51.5367301	-0.3219473
Urlwin Street	residential	4.5	51.4822132	-0.0956990
Elm Park Court	service	2.7	51.5979058	-0.3915403
Windermere Avenue	tertiary	4.87	51.5764420	-0.3084104
Western Avenue	trunk	4.9	51.5298158	-0.2929917
Western Avenue	trunk	4.9	51.5297382	-0.2930296
Camley Street	unclassified	4.1	51.5356854	-0.1290640
Pavilion Lane	service	4.7	51.4971187	0.0023810
Cold Blow Lane	unclassified	2.85	51.4814418	-0.0447970
Lynx Way	unclassified	2.1	51.5087718	0.0391478
Eden Park Avenue	tertiary	4.6	51.3929390	-0.0279238
Talbot Road	residential	4.8	51.5540735	0.0203909
Millington Road	unclassified	2	51.5016748	-0.4254746
Pump Lane	trunk_link	7.9	51.5039218	-0.4069382
Mill Place	unclassified	"15'6"""	51.5119539	-0.0345338
Sandown Road	residential	3.5	51.3176219	-0.1606432
Station Road	primary	4.9	51.5848821	-0.3619407
Pancras Road	primary	4.7	51.5335834	-0.1286008
Aerodrome Road	tertiary	5.3	51.5933347	-0.2360211
The Pines	track	none	51.3103866	-0.1548155
Northend Road	primary	5	51.4642155	0.1818102
Connaught Bridge	primary	"17'0"""	51.5050019	0.0395587
Connaught Bridge	primary	"17'0"""	51.5049960	0.0397827
Connaught Bridge	primary	"17'0"""	51.5075256	0.0401036
Connaught Bridge	primary	"17'0"""	51.5057733	0.0397156
Bridgwater Road	residential	3.58	51.5597426	-0.4072157
Ayrton Road	service	"13'1"""	51.4989605	-0.1759374
Holden Road	residential	3.35	51.6160296	-0.1864146
	unclassified	3.5	51.5311471	-0.2984529
Brady Street	unclassified	4	51.5237154	-0.0603481
Thorpe Road	residential	4.3	51.5561072	0.0185552
Cold Blow Lane	unclassified	3.5	51.4815952	-0.0433107
Strand Underpass	primary	3.6	51.5122098	-0.1183447
Bekesbourne Street	unclassified	"15'6"""	51.5124514	-0.0401015
	service	3	51.4704014	-0.1571095
	service	2.1	51.5136843	-0.1148580
	service	3.6	51.5058873	-0.1158409
Manor Road	primary	4	51.5283183	0.0048466
Leman Street	primary	4.8	51.5113652	-0.0687142
Bolina Road	cycleway	2.3	51.4880130	-0.0503632
Wick Lane	tertiary	3.88	51.5383109	-0.0259235
Upper Elmers End Road	residential	"14'9"""	51.3893114	-0.0258774
Bromley Road	primary	3.6	51.4062531	0.0017271
Sutton Street	unclassified	4.4	51.5119244	-0.0536525
Charles Place	service	10'	51.5272553	-0.1370458
	service	2	51.5342688	-0.1730507
Bridgehill Close	service	3.2	51.5415416	-0.3021666
Raphael Street	unclassified	default	51.5011486	-0.1626251
London Road	service	none	51.4061706	-0.1640321
London Road	service	none	51.4058795	-0.1640314
Bancroft Road	residential	5	51.5233462	-0.0423823
Wood Street	residential	default	51.5176036	-0.0935723
Wallis Road	tertiary	4.5	51.5437699	-0.0253104
Berners Mews	service	below_default	51.5187402	-0.1370341
Wells Mews	service	3.81	51.5174150	-0.1377385
Tinworth Street	residential	"14'0"""	51.4897567	-0.1221126
Bittacy Hill	secondary	4.6	51.6081192	-0.2092854
Pavilion Lane	service	4.7	51.4973844	0.0023020
Salamanca Street	service	"13'6"""	51.4914041	-0.1202570
Eardley Road	tertiary	3.7	51.4204865	-0.1387514
Maran Way	residential	3.6	51.4935267	0.1290859
Blackwall Tunnel	trunk	4.7	51.5094657	-0.0067557
Woodmansterne Road	residential	4.6	51.4126731	-0.1268959
Glencairn Road	residential	4.6	51.4140568	-0.1299265
Barfield Road	residential	"13'0"""	51.4006952	0.0590653
Chislehurst Road	secondary	3.81	51.4073549	0.0549813
Summer Hill	primary	4.4	51.4046247	0.0584503
Manor Way	unclassified	3	51.4395534	0.1451634
St Pancras Way	primary	4.6	51.5419627	-0.1357916
Maiden Lane	unclassified	3.4	51.4507972	0.1918330
Bexley High Street	primary	4.5	51.4412712	0.1509551
Howbury Lane	tertiary	"15'3"""	51.4641043	0.1873228
	trunk_link	4.7	51.5114806	-0.0067807
White Hart Road	unclassified	3.3	51.4900878	0.0921200
Warwickshire Path	tertiary	"12'3"""	51.4802955	-0.0304395
Edward Street	tertiary	"14'3"""	51.4805328	-0.0310383
Warwickshire Path	tertiary	"12'3"""	51.4802842	-0.0304549
Vallance Road	secondary	"12'9"""	51.5235914	-0.0639695
Hemming Street	residential	"14'6"""	51.5234496	-0.0634039
Brady Street	unclassified	4	51.5239605	-0.0603714
Collingwood Street	residential	"11'6"""	51.5238923	-0.0583437
Ennersdale Road	residential	3.9	51.4539367	-0.0037833
Lewisham High Street	primary	4.9	51.4582513	-0.0129168
Rolt Street	unclassified	"13'0"""	51.4825119	-0.0374378
Rolt Street	unclassified	"13'0"""	51.4826987	-0.0369463
Sharratt Street	residential	4.3	51.4826904	-0.0527143
Talgarth Road	trunk_link	default	51.4913218	-0.2221494
Dover Yard	service	3.8	51.5077378	-0.1425410
Endsleigh Gardens	residential	none	51.5267109	-0.1308472
Studland Street	primary	4.8	51.4941520	-0.2339943
Rye Lane	pedestrian	4.9	51.4701718	-0.0686603
Craven Hill Mews	residential	2.1	51.5135910	-0.1809686
	service	2.28	51.5733868	-0.2956440
Glamis Road	tertiary	4.8	51.5080973	-0.0507411
Lea Bridge Road	primary	4.9	51.5736203	-0.0152908
Fleet Square	residential	3.4	51.5270114	-0.1163140
	unclassified	4.0	51.4588244	0.1996080
New Spring Gardens Walk	unclassified	"13'3"""	51.4877687	-0.1224849
Eastbourne Mews	service	"10'6"""	51.5162150	-0.1788271
	service	2.2	51.5678612	-0.3554261
	service	2.7	51.5616100	-0.2812802
Elizabeth Bridge	residential	4.5	51.4923219	-0.1471463
Lombard Road	secondary	3.2	51.4726187	-0.1769054
Lombard Road	secondary	3.2	51.4719645	-0.1771378
Camden Road	trunk	"15'6"""	51.5418874	-0.1383029
Hare Row	unclassified	"14'3"""	51.5334852	-0.0577997
Hare Row	unclassified	"14'3"""	51.5335764	-0.0580130
Camden Mews	residential	3.8	51.5479138	-0.1291740
Stewarts Road	unclassified	4.4	51.4767229	-0.1421756
	service	1.9	51.3982812	-0.0424020
Elmers End Road	primary	4.4	51.4041347	-0.0556296
Ponsford Street	tertiary	4.7	51.5476855	-0.0477466
Ponsford Street	tertiary	4.7	51.5472567	-0.0478324
Ponsford Street	tertiary	4.9	51.5472447	-0.0476503
Ponsford Street	tertiary	4.9	51.5469870	-0.0476598
Newell Street	residential	4.5	51.5111558	-0.0313217
Rich Street	residential	"13'6"""	51.5098607	-0.0278682
Gill Street	residential	"15'3"""	51.5103852	-0.0289727
Grenade Street	residential	"15'3"""	51.5102687	-0.0287716
Devons Road	secondary	6.0	51.5245027	-0.0151842
Rounton Road	residential	3.8	51.5246634	-0.0204566
Campbell Road	tertiary	4.6	51.5245901	-0.0195296
Arnold Road	unclassified	"13'6"""	51.5260617	-0.0225450
Bow Road	trunk	4.76	51.5275830	-0.0230778
Abbey Street	secondary	"15'0"""	51.4980689	-0.0727987
	unclassified	"15'0"""	51.5040267	0.0709546
Beaumont Mews	service	"10'0"""	51.5207589	-0.1513698
Harrow Manorway	primary	5.3	51.4978165	0.1211700
Harrow Manorway	primary	5.3	51.4977906	0.1212912
Loampit Vale	trunk	4.8	51.4650966	-0.0175175
Elmira Street	residential	4.5	51.4622397	-0.0165287
Milk Street	residential	"15'3"""	51.4199462	0.0226266
New Street Hill	residential	"13'0"""	51.4220935	0.0238942
South Eden Park Road	secondary	"15'3"""	51.3876868	-0.0236406
Pope's Road	pedestrian	"12'9"""	51.4628974	-0.1127766
	service	2.08	51.5120280	-0.1621030
	service	2.08	51.5093878	-0.1565963
	service	2.08	51.5092085	-0.1578773
Berners Mews	service	3.2	51.5170428	-0.1359320
Bideford Avenue	tertiary	4.4	51.5356947	-0.3195783
Old York Road	tertiary	4.8	51.4610916	-0.1874410
	service	default	51.5021619	-0.1528664
	service	2.8	51.5025126	-0.1530691
	service	2	51.5435137	-0.1663660
	service	default	51.4978347	-0.1548087
	service	default	51.5085414	-0.1390393
Thames Road	primary	4.9	51.4561963	0.2010046
Middle Temple Lane	unclassified	below_default	51.5136201	-0.1115336
Unwin Road	service	4	51.4992273	-0.1753978
London Wall	primary	default	51.5175371	-0.0935921
Lower Robert Street	service	2.8	51.5088240	-0.1229681
Woodgrange Road	primary	4.9	51.5518268	0.0252577
Shepherd's Lane	service	3.4	51.5471283	-0.0459920
Blackwall Tunnel	trunk	4	51.5090455	-0.0071392
	service	below_default	51.4835608	-0.1706095
	unclassified	4.7	51.4739156	-0.4817914
	unclassified	4.7	51.4739857	-0.4865429
	unclassified	4.7	51.4743048	-0.4842118
Pancras Road	primary	4.7	51.5339855	-0.1271636
Pancras Road	primary	4.7	51.5339558	-0.1271298
	service	below_default	51.5037361	-0.2797127
	cycleway	2.3	51.4877694	-0.0512338
Connaught Place	residential	4	51.5135049	-0.1626897
	service	4.2	51.4827534	-0.1859341
Barker Street	service	below_default	51.4845946	-0.1837952
	service	1.85	51.5120102	-0.1004558
	service	1.85	51.5119048	-0.1002369
	service	3.1	51.5216236	-0.1644538
	service	below_default	51.4841334	-0.1768013
	service	default	51.4891774	-0.1658220
	service	default	51.4924881	-0.1632724
	service	default	51.4892227	-0.1653234
Portman Gate	service	2.3	51.5238969	-0.1665732
Portman Gate	service	4.5	51.5240464	-0.1662978
Wyndham Yard	service	4	51.5189931	-0.1617551
Bulmer Place	service	4.9	51.5093737	-0.1974301
	service	2.44	51.4945218	-0.1900098
Kensington Church Court	unclassified	below_default	51.5020117	-0.1914724
	service	below_default	51.4994453	-0.1981328
Colville Mews	residential	below_default	51.5150076	-0.2011748
Colville Mews	residential	below_default	51.5151576	-0.1999706
Norman Road	secondary	default	51.4780174	-0.0176938
Bowland Yard	residential	2.7	51.5015815	-0.1571181
Frederic Mews	residential	3	51.5013137	-0.1570166
	service	4.3	51.4998952	-0.1568669
	service	5	51.4940103	-0.1449869
	service	5	51.4941248	-0.1448488
	service	5	51.4939439	-0.1451155
	service	5	51.4941362	-0.1448735
	service	5	51.4942559	-0.1447224
	service	5	51.4937823	-0.1454565
Godstone Road	trunk	default	51.3368802	-0.1149191
	service	3.1	51.5010052	-0.1894480
Connaught Bridge	primary	"17'0"""	51.5085294	0.0403226
Western Avenue	trunk	4.9	51.5305213	-0.2973220
Stephen Street	unclassified	default	51.5180138	-0.1321317
	service	2.13	51.4977143	-0.1263923
Station Road	service	2.08	51.5179224	-0.2888964
Central Avenue	tertiary	4.4	51.4645430	0.1000036
High Road	trunk	4.8	51.5797218	-0.0728156
Mansell Street	trunk	4.5	51.5107408	-0.0727656
Embankment Place	service	default	51.5070334	-0.1228965
Cricklewood Lane	primary	"15'6"""	51.5582021	-0.2124749
	service	below_default	51.5004136	-0.1601560
Weymouth Mews	residential	"8'9"""	51.5207539	-0.1463475
Weymouth Mews	residential	"8'9"""	51.5206766	-0.1463104
Weymouth Mews	residential	"8'9"""	51.5201072	-0.1460567
Brunswick Mews	residential	3.2	51.5158718	-0.1599097
Tunnel Road East	tertiary	"15'0"""	51.4769301	-0.4529041
Tunnel Road West	tertiary	"15'0"""	51.4769315	-0.4530344
Tunnel Side Bore West	unclassified	"7'9"""	51.4769324	-0.4531236
Tunnel Side Bore East	unclassified	"7'9"""	51.4769291	-0.4528222
Cab Road	service	4.7	51.5027247	-0.1114807
Tower Bridge	trunk	default	51.5058406	-0.0751278
Tower Bridge	trunk	default	51.5051546	-0.0755899
Warner Street	unclassified	4.34	51.5234400	-0.1114421
Boord Street	service	4.7	51.4951368	0.0047584
Northolt Road	primary	4.5	51.5572956	-0.3622250
Brook Mews North	residential	3.5	51.5135972	-0.1788962
	service	3	51.5046035	-0.2249231
	service	3.1	51.5048903	-0.2249647
Church Road	tertiary	4.9	51.5119634	-0.3364826
Martha's Buildings	service	"12'0"""	51.5247637	-0.0903728
Old Street	trunk	4.8	51.5272156	-0.0786686
	service	below_default	51.5221172	-0.0818375
Lincoln Road	tertiary	5.02	51.6474100	-0.0744630
Cambridge Grove	residential	4.3	51.4935105	-0.2302231
Kilburn High Road	primary	"15'9"""	51.5452543	-0.2018899
Buckhurst Street	unclassified	"12'0"""	51.5242072	-0.0554975
Coventry Road	unclassified	"9'8"""	51.5240566	-0.0564879
Coventry Road	unclassified	"16'3"""	51.5249101	-0.0565958
Glasshouse Walk	residential	4.4	51.4887784	-0.1224081
	service	"14'0"""	51.4950701	-0.1161458
South Lambeth Place	unclassified	default	51.4848078	-0.1231433
	service	1.98	51.5794288	-0.3426833
St. Mildred's Road	trunk	4.5	51.4454280	0.0054814
